material_code,material_description,supplier_id,current_price,currency,uom
8400444,Storm-Proof Dry Bag: 30L waterproof roll-top bag with heavy-duty PVC coating.,SUP009,32.00,EUR,EA
8500550,Iron-Max Adjustable Dumbbells: Quick-dial system ranging from 2kg to 24kg.,SUP010,42.00,EUR,EA
8500551,Power-Rack Training Station: Heavy-duty steel frame with integrated pull-up bar.,SUP010,650.00,EUR,EA
8500552,Lift-Pro Leather Belt: 4-inch wide contoured cowhide for lumbar support.,SUP010,55.00,EUR,EA
8500553,Shock-Absorb Gym Flooring: High-density rubber tiles for noise reduction.,SUP010,28.00,EUR,EA
8500554,Endurance Speed Rope: Ball-bearing handles with a thin steel cable.,SUP010,18.00,EUR,EA
8600660,Nordic-Cross Skis: Lightweight waxless skis designed for groomed trails.,SUP011,210.00,EUR,PR
8600661,Thermal-Active Base Layer: Merino wool blend for natural warmth and odor resistance.,SUP011,52.00,EUR,EA
8600662,Summit-Pace Running Jacket: Windproof front panels with breathable mesh back.,SUP011,98.00,EUR,EA
8600663,Grip-Traction Ice Cleats: Rubber harness with steel studs for frozen surfaces.,SUP011,24.00,EUR,PR
8600664,Fjord-Focus Headlamp: 600-lumen LED with a rechargeable lithium-ion battery.,SUP011,45.00,EUR,EA
8700770,Riviera Padel Racket: Carbon fiber frame with a soft EVA core for vibration control.,SUP012,135.00,EUR,EA
8700771,Sun-Guard Performance Polo: Quick-dry fabric with cooling technology.,SUP012,32.00,EUR,EA
8700772,Marine-Grade Boat Shoes: Siped rubber outsoles for traction on wet decks.,SUP012,68.00,EUR,PR
8700773,Gulf-Stream Snorkel Mask: Panoramic tempered glass lens with a dry-top snorkel.,SUP012,38.00,EUR,EA
8700774,Active-Cool Beach Umbrella: Wind-vented canopy with a sand anchor base.,SUP012,55.00,EUR,EA
8800880,"Wave-Rider Surfboard: 7'0"" funboard shape with a durable epoxy finish.",SUP013,420.00,EUR,EA
8800881,Atlantic Surfing Leash: 7ft heavy-duty cord with a double-swivel system.,SUP013,22.00,EUR,EA
8800882,Reef-Guard Rash Guard: UPF 50+ protection with flatlock seams to prevent chafing.,SUP013,28.00,EUR,EA
8800883,"Hydro-Grip Wax: Organic, biodegradable formula for all water temperatures.",SUP013,4.50,EUR,EA
8800884,Ocean-Vue Swim Fins: Symmetrical blade design for powerful thrust.,SUP013,35.00,EUR,PR
8900990,Titan-Grip Kettlebell: Solid cast-iron construction with a wide-loop handle.,SUP014,48.00,EUR,EA
8900991,Combat-Shield Boxing Gloves: Multi-layered padding with a secure wrist strap.,SUP014,32.00,EUR,PR
8900992,Iron-Pulse Weight Vest: Adjustable weight up to 20kg with padded straps.,SUP014,85.00,EUR,EA
8900993,Stamina Punching Bag: Synthetic leather casing filled with shock-absorbing textiles.,SUP014,140.00,EUR,EA
8900994,Ring-Master Hand Wraps: Semi-elastic cotton material for wrist support.,SUP014,8.00,EUR,PR
8111000,Autobahn Compression Tights: Gradient compression for muscle recovery.,SUP015,42.00,EUR,EA
8111001,Rhein-Run Hydration Belt: Low-bounce design with two 250ml BPA-free bottles.,SUP015,28.00,EUR,EA
8111002,Precision-Fit Sports Bra: High-impact support with moisture-wicking cups.,SUP015,35.00,EUR,EA
8111003,Sonic-Step Smartwatch: GPS-enabled tracker with heart rate monitoring.,SUP015,175.00,EUR,EA
8111004,Reflective Safety Vest: High-visibility neon mesh with 360-degree strips.,SUP015,15.00,EUR,EA
8222110,Lisbon Court Skort: Integrated shorts with ball pockets and wicking fabric.,SUP016,38.00,EUR,EA
8222111,Iberia Badminton Racket: High-modulus carbon frame with a head-heavy balance.,SUP016,42.00,EUR,EA
8222112,Court-Master Shuttlecocks: Grade A goose feathers with a natural cork base.,SUP016,18.00,EUR,PK
8222113,Elite Squash Eye Guards: Impact-resistant lenses with anti-fog coating.,SUP016,25.00,EUR,EA
8222114,Fast-Foot Indoor Shoes: Gum rubber outsoles for superior grip.,SUP016,72.00,EUR,PR
8333220,Alpine-Tech Hiking Boots: Nubuck leather with a Vibram sole and waterproof membrane.,SUP017,195.00,CHF,PR
8333221,Swiss-Precision Compass: Liquid-filled capsule with a magnifying lens.,SUP017,42.00,CHF,EA
8333222,Summit-Hydra Backpack: 40L capacity with a ventilated back panel.,SUP017,135.00,CHF,EA
8333223,Peak-Performance Climbing Rope: 60m dynamic rope with a dry-treated core.,SUP017,210.00,CHF,EA
8333224,Glacier-Protect Sunglasses: Category 4 lenses with removable side shields.,SUP017,98.00,CHF,EA
8444330,Classic Willow Cricket Bat: Grade 1 English Willow with a Sarawak cane handle.,SUP018,115.00,EUR,EA
8444331,Belgo-Guard Batting Pads: High-density foam bolsters with reinforced knee rolls.,SUP018,68.00,EUR,PR
8444332,All-Rounder Cricket Shoes: Hybrid spike system for grass and turf.,SUP018,85.00,EUR,PR
8444333,Stitch-Master Cricket Ball: Four-piece alum-tanned leather for league play.,SUP018,18.00,EUR,EA
8444334,Pro-Vent Batting Helmet: Carbon-reinforced shell with an adjustable visor.,SUP018,72.00,EUR,EA
8555440,Galactic Basketball: Composite leather with deep channels for ball control.,SUP019,22.00,EUR,EA
8555441,Hoop-Dream High-Tops: Padded ankle support with responsive foam.,SUP019,89.00,EUR,PR
8555442,"Madrid Mesh Shorts: Lightweight, double-layered mesh for breathability.",SUP019,24.00,EUR,EA
8555443,Pro-Rim Compression Sleeve: Improves blood flow and keeps muscles warm.,SUP019,12.00,EUR,EA
8555444,Backcourt Reversible Jersey: Quick-dry polyester with contrast piping.,SUP019,32.00,EUR,EA
8666550,Baltic-Tough Weight Plate: Rubber-coated Olympic plate with stainless center ring.,SUP020,55.00,EUR,EA
8666551,Power-Bar Barbell: 20kg chrome-plated steel bar with 700lb capacity.,SUP020,180.00,EUR,EA
8666552,Grip-Enhance Lifting Chalk: 100% pure magnesium carbonate for a dry grip.,SUP020,8.00,EUR,EA
8666553,Flex-Band Resistance Set: Set of 5 natural latex bands (Light to X-Heavy).,SUP020,28.00,EUR,SET
8666554,Stability-Plus Weight Bench: Adjustable flat-incline-decline bench.,SUP020,220.00,EUR,EA
