LIFNR,NAME1,MATNR,MAKTX,Historical_Allocated_Quantity,Optimized_Allocated_Quantity,Delta_Allocated_Quantity,Historical_Actual_Spend_USD,Optimized_Actual_Spend_USD_Est_for_Combo,Historical_Total_Effective_Cost_for_Combo,Optimized_Total_Effective_Cost_for_Combo,Delta_Total_Effective_Cost_for_Combo,Historical_EffectiveCostPerUnit_USD,Optimized_EffectiveCostPerUnit_USD,Historical_AvgUnitPriceUSD_raw,Optimized_AvgUnitPriceUSD_raw,Historical_Total_cost_BasePrice,Historical_Total_cost_Tariff,Historical_Total_cost_Holding_LeadTime,Historical_Total_cost_Holding_LTVariability,Historical_Total_cost_Holding_Lateness,Historical_Total_cost_Risk_PriceVolatility,Historical_Total_cost_Impact_PriceTrend,Historical_Total_cost_Logistics,Optimized_Total_cost_BasePrice,Optimized_Total_cost_Tariff,Optimized_Total_cost_Holding_LeadTime,Optimized_Total_cost_Holding_LTVariability,Optimized_Total_cost_Holding_Lateness,Optimized_Total_cost_Risk_PriceVolatility,Optimized_Total_cost_Impact_PriceTrend,Optimized_Total_cost_Logistics,Delta_Total_cost_BasePrice,Delta_Total_cost_Tariff,Delta_Total_cost_Holding_LeadTime,Delta_Total_cost_Holding_LTVariability,Delta_Total_cost_Holding_Lateness,Delta_Total_cost_Risk_PriceVolatility,Delta_Total_cost_Impact_PriceTrend,Delta_Total_cost_Logistics,Historical_cost_BasePrice_Unit,Historical_cost_Tariff_Unit,Historical_cost_Holding_LeadTime_Unit,Historical_cost_Holding_LTVariability_Unit,Historical_cost_Holding_Lateness_Unit,Historical_cost_Risk_PriceVolatility_Unit,Historical_cost_Impact_PriceTrend_Unit,Historical_cost_Logistics_Unit,Optimized_cost_BasePrice_Unit,Optimized_cost_Tariff_Unit,Optimized_cost_Holding_LeadTime_Unit,Optimized_cost_Holding_LTVariability_Unit,Optimized_cost_Holding_Lateness_Unit,Optimized_cost_Risk_PriceVolatility_Unit,Optimized_cost_Impact_PriceTrend_Unit,Optimized_cost_Logistics_Unit
77,AdvertOne,7458,EMN-BRAKES,129,0.00,-129.00,54577.00,0.00,69813.77,0.00,-69813.77,541.19,541.19,440.50,440.50,56824.50,5682.45,1919.58,1363.90,78.11,1498.26,-1723.47,4170.43,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-56824.50,-5682.45,-1919.58,-1363.90,-78.11,-1498.26,1723.47,-4170.43,440.50,44.05,14.88,10.57,0.61,11.61,-13.36,32.33,440.50,44.05,14.88,10.57,0.61,11.61,-13.36,32.33
76,AdvertOne,7458,EMN-BRAKES,263,709.95,446.95,108775.00,293208.77,126019.42,340179.89,214160.47,479.16,479.16,413.00,413.00,108619.00,10861.90,2892.53,2452.84,142.20,3638.37,-3513.73,926.31,293208.77,29320.88,7808.16,6621.26,383.87,9821.50,-9485.06,2500.51,184589.77,18458.98,4915.63,4168.42,241.67,6183.13,-5971.32,1574.20,413.00,41.30,11.00,9.33,0.54,13.83,-13.36,3.52,413.00,41.30,11.00,9.33,0.54,13.83,-13.36,3.52
71,AdvertOne,7458,EMN-BRAKES,174,844.88,670.88,71428.00,323587.58,80393.39,390359.00,309965.60,462.03,462.03,383.00,383.00,66642.00,6664.20,2662.03,1387.16,94.31,2423.49,0.00,520.21,323587.58,32358.76,12925.76,6735.52,457.92,11767.52,0.00,2525.93,256945.58,25694.56,10263.73,5348.36,363.61,9344.03,0.00,2005.72,383.00,38.30,15.30,7.97,0.54,13.93,0.00,2.99,383.00,38.30,15.30,7.97,0.54,13.93,0.00,2.99
83,BeSafe Inc,8961,ECR-SENSOR,233,0.00,-233.00,77563.00,0.00,98314.91,0.00,-98314.91,421.95,421.95,339.00,339.00,78987.00,7898.70,2415.05,1616.09,191.67,2680.78,0.00,4525.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-78987.00,-7898.70,-2415.05,-1616.09,-191.67,-2680.78,0.00,-4525.63,339.00,33.90,10.37,6.94,0.82,11.51,0.00,19.42,339.00,33.90,10.37,6.94,0.82,11.51,0.00,19.42
84,BeSafe Inc,8961,ECR-SENSOR,192,0.00,-192.00,62723.00,0.00,75757.86,0.00,-75757.86,394.57,394.57,326.50,326.50,62688.00,6268.80,1963.08,1101.93,65.63,2053.21,0.00,1617.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-62688.00,-6268.80,-1963.08,-1101.93,-65.63,-2053.21,0.00,-1617.22,326.50,32.65,10.22,5.74,0.34,10.69,0.00,8.42,326.50,32.65,10.22,5.74,0.34,10.69,0.00,8.42
88,BeSafe Inc,8961,ECR-SENSOR,157,0.00,-157.00,52012.00,0.00,67755.23,0.00,-67755.23,431.56,431.56,346.00,346.00,54322.00,5432.20,1741.29,1451.42,127.75,1751.30,0.00,2929.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-54322.00,-5432.20,-1741.29,-1451.42,-127.75,-1751.30,0.00,-2929.27,346.00,34.60,11.09,9.24,0.81,11.15,0.00,18.66,346.00,34.60,11.09,9.24,0.81,11.15,0.00,18.66
87,BeSafe Inc,8961,ECR-SENSOR,168,0.00,-168.00,55002.00,0.00,66941.11,0.00,-66941.11,398.46,398.46,317.00,317.00,53256.00,5325.60,2389.95,1060.38,55.74,1752.31,0.00,3101.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-53256.00,-5325.60,-2389.95,-1060.38,-55.74,-1752.31,0.00,-3101.13,317.00,31.70,14.23,6.31,0.33,10.43,0.00,18.46,317.00,31.70,14.23,6.31,0.33,10.43,0.00,18.46
81,BeSafe Inc,8961,ECR-SENSOR,136,0.00,-136.00,45150.00,0.00,56349.49,0.00,-56349.49,414.33,414.33,343.00,343.00,46648.00,4664.80,2093.41,1073.54,126.59,1422.32,0.00,320.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-46648.00,-4664.80,-2093.41,-1073.54,-126.59,-1422.32,0.00,-320.84,343.00,34.30,15.39,7.89,0.93,10.46,0.00,2.36,343.00,34.30,15.39,7.89,0.93,10.46,0.00,2.36
86,BeSafe Inc,8961,ECR-SENSOR,112,0.00,-112.00,33502.00,0.00,48015.15,0.00,-48015.15,428.71,428.71,305.00,305.00,34160.00,8540.00,1330.84,657.75,60.86,1054.80,0.00,2210.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34160.00,-8540.00,-1330.84,-657.75,-60.86,-1054.80,0.00,-2210.89,305.00,76.25,11.88,5.87,0.54,9.42,0.00,19.74,305.00,76.25,11.88,5.87,0.54,9.42,0.00,19.74
85,BeSafe Inc,8961,ECR-SENSOR,206,663.27,457.27,67032.00,213904.70,76414.32,246035.71,169621.39,370.94,370.94,322.50,322.50,66435.00,6643.50,2260.60,1438.52,117.17,1842.61,-2752.20,429.12,213904.70,21390.47,7278.60,4631.68,377.27,5932.75,-8861.43,1381.66,147469.70,14746.97,5017.99,3193.16,260.10,4090.15,-6109.22,952.54,322.50,32.25,10.97,6.98,0.57,8.94,-13.36,2.08,322.50,32.25,10.97,6.98,0.57,8.94,-13.36,2.08
82,BeSafe Inc,8961,ECR-SENSOR,180,720.73,540.73,55938.00,229192.01,69366.62,277747.64,208381.02,385.37,385.37,318.00,318.00,57240.00,5724.00,2554.63,1553.44,84.13,1799.71,0.00,410.71,229192.01,22919.20,10228.88,6220.04,336.87,7206.14,0.00,1644.49,171952.01,17195.20,7674.25,4666.60,252.74,5406.43,0.00,1233.78,318.00,31.80,14.19,8.63,0.47,10.00,0.00,2.28,318.00,31.80,14.19,8.63,0.47,10.00,0.00,2.28
