Rank,LIFNR,NAME1,MATNR,MAKTX,LAND1,EffectiveCostPerUnit_USD,FinalScore,POLineItemCount,AvgUnitPriceUSD_raw,StdDevUnitPriceUSD_raw,PriceVolatility_raw,PriceTrend_raw_slope,TariffImpact_raw_percent,AvgLeadTimeDays_raw,LeadTimeVariability_raw_days,OnTimeRate_raw,InFullRate_raw,cost_BasePrice,cost_Tariff,cost_Holding_LeadTime,cost_Holding_LTVariability,cost_Holding_Lateness,cost_Risk_PriceVolatility,cost_Impact_PriceTrend,cost_Logistics,AvgUnitPriceUSD_Norm,PriceVolatility_Norm,PriceTrend_Norm,TariffImpact_Norm,AvgLeadTimeDays_Norm,LeadTimeVariability_Norm,OnTimeRate_Norm,InFullRate_Norm
33,62,"AdminSupply, Inc",6347,EMN-THROTTLE,CN,434.1263,0.4463,20,309.5000,28.1464,0.0918,0.0000,25.0000,73.0000,26.6496,0.4500,0.5000,309.5000,77.3750,11.1420,6.7114,0.6833,7.0366,0.0000,21.6780,0.8344,0.7768,0.0000,0.0000,0.4787,0.5768,0.3346,0.2387
34,11,EV Parts Inc.,1385,EMN-MOTOR,TH,438.2861,0.6368,15,350.0000,40.5801,0.1180,0.0000,10.0000,60.0000,26.9705,0.6667,0.6667,350.0000,35.0000,10.3562,7.6811,0.4712,10.1450,0.0000,24.6327,0.7880,0.2809,0.0000,1.0000,0.8197,0.5499,0.8441,0.6573
35,35,"TechGroup, Inc",1385,EMN-MOTOR,IN,438.2915,0.6616,14,350.0000,40.3069,0.1172,0.0000,10.0000,62.0000,24.4113,0.6429,0.7143,350.0000,35.0000,10.7014,6.9522,0.5048,10.0767,0.0000,25.0564,0.7880,0.2958,0.0000,1.0000,0.7672,0.7645,0.7881,0.7769
36,12,EV Parts Inc.,1385,EMN-MOTOR,HU,440.7422,0.5094,16,349.0000,41.2944,0.1173,0.0000,10.0000,90.0000,30.7352,0.4375,0.8031,349.0000,34.9000,15.4899,8.7282,0.7928,10.3236,0.0000,21.5077,0.7891,0.2957,0.0000,1.0000,0.0328,0.2342,0.3052,1.0000
37,36,"TechGroup, Inc",1385,EMN-MOTOR,MY,453.3014,0.5159,16,364.0000,43.7580,0.1230,0.0000,10.0000,68.5000,23.4981,0.3750,0.5000,364.0000,36.4000,12.2962,6.9598,0.9187,10.9395,0.0000,21.7871,0.7719,0.1867,0.0000,1.0000,0.5967,0.8411,0.1583,0.2387
38,17,EV Parts Inc.,1385,EMN-MOTOR,IN,454.1788,0.5900,11,360.0000,30.8168,0.0859,0.0000,10.0000,85.0000,21.6027,0.3077,0.5455,360.0000,36.0000,15.0904,6.3281,1.0065,7.7042,0.0000,28.0496,0.7765,0.8867,0.0000,1.0000,0.1639,1.0000,0.0000,0.3528
39,32,"TechGroup, Inc",1385,EMN-MOTOR,ID,455.6044,0.5628,41,364.0000,41.8679,0.1162,0.0000,10.0000,67.0000,26.1626,0.6098,0.4634,364.0000,36.4000,12.0270,7.7490,0.5737,10.4670,0.0000,24.3878,0.7719,0.3156,0.0000,1.0000,0.6361,0.6176,0.7103,0.1468
40,37,"TechGroup, Inc",1385,EMN-MOTOR,US,459.0503,0.4909,14,381.0000,38.5395,0.1051,0.0000,10.0000,90.0000,29.8757,0.3077,0.7143,381.0000,38.1000,16.9101,9.2620,1.0652,9.6349,0.0000,3.0780,0.7525,0.5252,0.0000,1.0000,0.0328,0.3063,0.0000,0.7769
41,21,WaveCrest Labs,1385,EMN-MOTOR,IN,459.9688,0.5092,24,363.5000,41.3306,0.1159,0.0000,10.0000,81.0000,28.8951,0.4583,0.6250,363.5000,36.3500,14.5201,8.5466,0.7952,10.3326,0.0000,25.9243,0.7725,0.3218,0.0000,1.0000,0.2689,0.3885,0.3542,0.5526
42,71,AdvertOne,7458,EMN-BRAKES,US,462.0310,0.5056,17,383.0000,55.7124,0.1329,0.0000,10.0000,81.0000,25.5810,0.5882,0.5882,383.0000,38.3000,15.2990,7.9722,0.5420,13.9281,0.0000,2.9897,0.7502,0.0000,0.0000,1.0000,0.2689,0.6664,0.6597,0.4603
43,25,WaveCrest Labs,1385,EMN-MOTOR,TH,463.4825,0.4473,13,363.0000,47.5527,0.1319,0.0000,10.0000,64.0000,33.5277,0.5385,0.4615,363.0000,36.3000,11.4569,9.9032,0.6766,11.8882,0.0000,30.2577,0.7731,0.0182,0.0000,1.0000,0.7148,0.0000,0.5427,0.1421
44,27,WaveCrest Labs,1385,EMN-MOTOR,CN,475.0607,0.4417,18,334.0000,38.7211,0.1137,0.0000,25.0000,80.0000,28.1896,0.7330,0.6111,334.0000,83.5000,13.1770,7.6612,0.3602,9.6803,0.0000,26.6820,0.8063,0.3624,0.0000,0.0000,0.2951,0.4476,1.0000,0.5177
45,76,AdvertOne,7458,EMN-BRAKES,US,479.1613,0.6575,21,413.0000,55.3365,0.1318,-0.2969,10.0000,54.0000,27.7523,0.6190,0.5714,413.0000,41.3000,10.9982,9.3264,0.5407,13.8341,-13.3602,3.5221,0.7158,0.0210,1.0000,1.0000,0.9770,0.4843,0.7321,0.4181
46,74,AdvertOne,7458,EMN-BRAKES,US,494.6097,0.5846,19,417.0000,44.5707,0.1053,0.0000,10.0000,56.0000,27.2872,0.4737,0.5263,417.0000,41.7000,11.5161,9.2589,0.7543,11.1427,0.0000,3.2378,0.7112,0.5205,0.0000,1.0000,0.9246,0.5233,0.3903,0.3048
47,73,AdvertOne,7458,EMN-BRAKES,US,503.9594,0.5905,35,425.0000,41.2234,0.0987,0.0000,10.0000,68.0000,23.9768,0.4857,0.4857,425.0000,42.5000,14.2521,8.2917,0.7512,10.3059,0.0000,2.8586,0.7021,0.6455,0.0000,1.0000,0.6098,0.8009,0.4186,0.2028
48,31,"TechGroup, Inc",1385,EMN-MOTOR,CN,504.1663,0.4717,29,363.0000,39.3561,0.1116,-0.2879,25.0000,70.0000,29.3159,0.5172,0.4828,363.0000,90.7500,12.5310,8.6591,0.7077,9.8390,-12.9538,31.6333,0.7731,0.4016,0.9696,0.0000,0.5574,0.3532,0.4928,0.1954
49,75,AdvertOne,7458,EMN-BRAKES,MX,525.3757,0.5709,19,435.0000,43.9185,0.1034,0.0000,10.0000,75.0000,24.5380,0.5789,0.4737,435.0000,43.5000,16.0890,8.6854,0.6294,10.9796,0.0000,10.4922,0.6906,0.5581,0.0000,1.0000,0.4262,0.7539,0.6379,0.1726
50,72,AdvertOne,7458,EMN-BRAKES,HU,526.1505,0.4309,13,421.0000,47.1507,0.1123,0.0000,10.0000,75.0000,28.9212,0.3077,0.4050,421.0000,42.1000,15.5712,9.9075,1.0016,11.7877,0.0000,24.7824,0.7067,0.3887,0.0000,1.0000,0.4262,0.3863,0.0000,0.0000
51,77,AdvertOne,7458,EMN-BRAKES,TH,541.1921,0.6144,10,440.5000,46.4577,0.1099,-0.2969,10.0000,68.5000,29.4975,0.6000,0.4050,440.5000,44.0500,14.8805,10.5729,0.6055,11.6144,-13.3602,32.3289,0.6843,0.4353,1.0000,1.0000,0.5967,0.3380,0.6874,0.0000
52,41,"LabSupply, Inc",4782,ECR-ZFRAME,HU,1223.2654,0.5618,8,979.0000,53.7448,0.0799,0.0000,10.0000,86.5000,22.7282,0.5000,0.8031,979.0000,97.9000,41.7617,18.1055,1.7206,13.4362,0.0000,71.3414,0.0676,1.0000,0.0000,1.0000,0.1246,0.9056,0.4522,1.0000
53,45,"LabSupply, Inc",4782,ECR-ZFRAME,MX,1233.5844,0.4400,30,1021.5000,104.8786,0.1042,0.0000,10.0000,65.5000,29.4966,0.4333,0.7000,1021.5000,102.1500,32.9958,24.5173,2.0347,26.2197,0.0000,24.1669,0.0189,0.5417,0.0000,1.0000,0.6754,0.3380,0.2954,0.7410
54,42,"LabSupply, Inc",4782,ECR-ZFRAME,US,1240.4014,0.4500,32,1036.0000,107.8730,0.1137,0.0000,10.0000,86.5000,24.1260,0.5938,0.7500,1036.0000,103.6000,44.1932,20.3380,1.4794,26.9683,0.0000,7.8225,0.0023,0.3623,0.0000,1.0000,0.1246,0.7884,0.6727,0.8666
55,43,"LabSupply, Inc",4782,ECR-ZFRAME,MY,1247.8336,0.4053,10,1004.5000,107.8730,0.1329,0.0000,10.0000,53.1250,32.9763,0.6000,0.7000,1004.5000,100.4500,26.3165,26.9535,1.4123,26.9683,0.0000,61.2330,0.0384,0.0009,0.0000,1.0000,1.0000,0.0462,0.6874,0.7410
56,44,"LabSupply, Inc",4782,ECR-ZFRAME,US,1249.5958,0.3003,18,1038.0250,107.8730,0.1286,0.0000,10.0000,88.0000,31.3148,0.5000,0.6667,1038.0250,103.8025,45.0474,26.4497,1.8243,26.9683,0.0000,7.4786,0.0000,0.0818,0.0000,1.0000,0.0852,0.1856,0.4522,0.6573
