Rank,LIFNR,NAME1,MATNR,MAKTX,LAND1,EffectiveCostPerUnit_USD,FinalScore,POLineItemCount,AvgUnitPriceUSD_raw,StdDevUnitPriceUSD_raw,PriceVolatility_raw,PriceTrend_raw_slope,TariffImpact_raw_percent,AvgLeadTimeDays_raw,LeadTimeVariability_raw_days,OnTimeRate_raw,InFullRate_raw,cost_BasePrice,cost_Tariff,cost_Holding_LeadTime,cost_Holding_LTVariability,cost_Holding_Lateness,cost_Inefficiency_InFull,cost_Risk_PriceVolatility,cost_Impact_PriceTrend,cost_Logistics,AvgUnitPriceUSD_Norm,PriceVolatility_Norm,PriceTrend_Norm,TariffImpact_Norm,AvgLeadTimeDays_Norm,LeadTimeVariability_Norm,OnTimeRate_Norm,InFullRate_Norm,LAND1_supplier,LANDX,Country,Region
11,61,"AdminSupply, Inc",6347,EMN-THROTTLE,US,328.8759,0.6619,18,304.5,25.1191,0.0853,-0.0858,0.0,92.0,24.0444,0.7222,0.5,304.5,0.0,13.8151,5.9575,0.3395,304.5,6.2798,-3.8614,1.8453,0.6681,0.6944,0.5814,1.0,0.0435,0.7965,0.8762,0.4433,US,United States,United States,US
12,85,BeSafe Inc,8961,ECR-SENSOR,US,329.2836,0.6313,20,322.5,35.779,0.111,-0.4932,0.0,69.0,26.6104,0.55,0.45,322.5,0.0,10.9738,6.9831,0.5688,394.1667,8.9447,-22.1962,1.5093,0.5794,0.3771,1.0,1.0,0.5435,0.6358,0.5405,0.3691,US,United States,United States,US
13,65,"AdminSupply, Inc",6347,EMN-THROTTLE,US,341.4863,0.6052,17,307.0,28.528,0.093,0.1492,0.0,70.0,30.7164,0.5882,0.5294,307.0,0.0,10.5978,7.6731,0.5074,272.8889,7.132,6.7155,1.8604,0.6558,0.5991,0.3399,1.0,0.5217,0.3786,0.615,0.487,US,United States,United States,US
14,82,BeSafe Inc,8961,ECR-SENSOR,US,352.4857,0.5021,16,318.0,39.9937,0.1251,-0.0065,0.0,90.5,33.3527,0.625,0.5625,318.0,0.0,14.1924,8.6302,0.4674,247.3333,9.9984,-0.2909,1.4882,0.6016,0.2036,0.4999,1.0,0.0761,0.2134,0.6867,0.5361,US,United States,United States,US
15,24,WaveCrest Labs,1385,EMN-MOTOR,US,357.7529,0.6583,13,335.0,33.9636,0.1004,-0.1595,0.0,51.0,29.6244,0.5385,0.6923,335.0,0.0,8.4255,8.0753,0.6244,148.8889,8.4909,-7.1796,4.3165,0.5179,0.5077,0.6571,1.0,0.9348,0.447,0.518,0.7288,US,United States,United States,US
16,14,EV Parts Inc.,1385,EMN-MOTOR,US,375.533,0.5211,14,338.0,46.5134,0.1331,0.1123,0.0,53.5,24.7106,0.4286,0.3571,338.0,0.0,8.9176,6.7962,0.78,608.4,11.6283,5.0557,4.3551,0.5031,0.1048,0.3778,1.0,0.8804,0.7548,0.3038,0.2313,US,United States,United States,US
17,34,"TechGroup, Inc",1385,EMN-MOTOR,US,376.256,0.4682,17,345.0,42.5816,0.1223,-0.1579,0.0,75.0,34.8193,0.4706,0.4118,345.0,0.0,12.7603,9.7747,0.7376,492.8571,10.6454,-7.1073,4.4453,0.4686,0.2378,0.6555,1.0,0.413,0.1216,0.3857,0.3123,US,United States,United States,US
18,26,WaveCrest Labs,1385,EMN-MOTOR,US,379.2063,0.5548,15,351.0,41.365,0.1168,-0.2118,0.0,94.0,20.8006,0.5333,0.5333,351.0,0.0,16.271,5.9408,0.6615,307.125,10.3413,-9.531,4.5226,0.439,0.3059,0.7108,1.0,0.0,0.9997,0.508,0.4928,US,United States,United States,US
19,67,"AdminSupply, Inc",6347,EMN-THROTTLE,MX,380.8788,0.617,6,317.0,35.7029,0.1139,0.0535,10.0,53.5,24.5031,0.6667,0.6667,317.0,31.7,8.3636,6.3204,0.4242,158.5,8.9257,2.4057,5.7393,0.6065,0.3414,0.4383,0.6,0.8804,0.7678,0.7679,0.6907,MX,Mexico,Mexico,MX
20,81,BeSafe Inc,8961,ECR-SENSOR,US,387.3584,0.4254,13,343.0,41.8327,0.1241,0.1795,0.0,91.0,28.2829,0.3077,0.5385,343.0,0.0,15.3927,7.8937,0.9308,294.0,10.4582,8.0778,1.6052,0.4784,0.2156,0.3088,1.0,0.0652,0.531,0.0682,0.5004,US,United States,United States,US
21,87,BeSafe Inc,8961,ECR-SENSOR,IN,390.4394,0.5137,14,317.0,41.7215,0.1305,-0.0466,10.0,91.0,24.4698,0.7857,0.5,317.0,31.7,14.2259,6.3118,0.2663,317.0,10.4304,-2.0957,12.6007,0.6065,0.1364,0.5411,0.6,0.0652,0.7699,1.0,0.4433,IN,India,India,IN
22,84,BeSafe Inc,8961,ECR-SENSOR,MX,397.4231,0.541,16,326.5,42.7754,0.1328,0.1607,10.0,63.5,21.4762,0.75,0.4375,326.5,32.65,10.2244,5.7057,0.3199,419.7857,10.6938,7.23,4.0992,0.5597,0.1074,0.3281,0.6,0.663,0.9574,0.9304,0.3505,MX,Mexico,Mexico,MX
23,33,"TechGroup, Inc",1385,EMN-MOTOR,US,398.4633,0.6066,20,363.0,39.9464,0.1102,0.0028,0.0,59.0,32.74,0.7,0.8,363.0,0.0,10.5618,9.6705,0.4398,90.75,9.9866,0.1274,4.6773,0.3799,0.3875,0.4903,1.0,0.7609,0.2518,0.8329,0.8887,US,United States,United States,US
24,64,"AdminSupply, Inc",6347,EMN-THROTTLE,IN,400.9218,0.4579,12,314.5,33.2753,0.1087,0.2124,10.0,67.0,36.76,0.4167,0.6667,314.5,31.45,10.3914,9.4072,0.7364,157.25,8.3188,9.5595,16.5584,0.6188,0.4057,0.275,0.6,0.587,0.0,0.2806,0.6907,IN,India,India,IN
25,71,AdvertOne,7458,EMN-BRAKES,US,412.2483,0.5064,17,383.0,55.7124,0.1388,-0.2772,0.0,81.0,25.581,0.5882,0.5882,383.0,0.0,15.299,7.9722,0.542,268.1,13.9281,-12.4744,3.9813,0.2814,0.0337,0.778,1.0,0.2826,0.7003,0.615,0.5743,US,United States,United States,US
26,88,BeSafe Inc,8961,ECR-SENSOR,DE,420.5298,0.4499,15,346.0,44.6193,0.1315,-0.0774,10.0,65.0,32.8361,0.4,0.7333,346.0,34.6,11.091,9.2447,0.8137,125.8182,11.1548,-3.481,11.1066,0.4637,0.1235,0.5727,0.6,0.6304,0.2458,0.2481,0.7897,DE,Germany,Germany,DE
27,62,"AdminSupply, Inc",6347,EMN-THROTTLE,CN,422.3929,0.4701,20,309.5,28.1464,0.0918,-0.1177,25.0,73.0,26.6496,0.45,0.5,309.5,77.375,11.142,6.7114,0.6833,309.5,7.0366,-5.2967,15.2413,0.6435,0.6144,0.6142,0.0,0.4565,0.6333,0.3456,0.4433,CN,China,China,CN
28,86,BeSafe Inc,8961,ECR-SENSOR,CN,422.4829,0.484,11,305.0,37.6718,0.1208,-0.0372,25.0,79.0,23.6636,0.5455,0.8182,305.0,76.25,11.8825,5.8728,0.5434,67.7778,9.4179,-1.6727,15.189,0.6656,0.2559,0.5314,0.0,0.3261,0.8204,0.5316,0.9157,CN,China,China,CN
29,83,BeSafe Inc,8961,ECR-SENSOR,TH,422.6227,0.4398,21,339.0,46.022,0.1415,0.17,10.0,62.0,25.1448,0.381,0.5714,339.0,33.9,10.365,6.936,0.8226,254.25,11.5055,7.6506,12.443,0.4982,0.0,0.3185,0.6,0.6957,0.7276,0.211,0.5494,TH,Thailand,Thailand,TH
30,15,EV Parts Inc.,1385,EMN-MOTOR,ID,424.4114,0.5076,33,320.0,39.6845,0.1188,-0.0555,10.0,59.0,31.848,0.5455,0.4848,320.0,32.0,9.3107,8.2927,0.5874,340.0,9.9211,-2.4957,46.7952,0.5917,0.2811,0.5502,0.6,0.7609,0.3077,0.5316,0.4208,ID,Indonesia,Indonesia,ID
31,22,WaveCrest Labs,1385,EMN-MOTOR,HU,426.6985,0.49,39,331.0,44.2215,0.1292,-0.0139,10.0,60.0,29.274,0.5385,0.5128,331.0,33.1,9.794,7.8845,0.6169,314.45,11.0554,-0.6236,33.8712,0.5376,0.1527,0.5075,0.6,0.7391,0.4689,0.518,0.4624,HU,Hungary,Hungary,HU
32,23,WaveCrest Labs,1385,EMN-MOTOR,ID,426.7449,0.5794,20,324.5,33.4853,0.1021,-0.1071,10.0,63.5,30.6918,0.6,0.7,324.5,32.45,10.1617,8.104,0.5242,139.0714,8.3713,-4.8197,47.4533,0.5696,0.4871,0.6033,0.6,0.663,0.3801,0.638,0.7402,ID,Indonesia,Indonesia,ID
33,37,"TechGroup, Inc",1385,EMN-MOTOR,US,428.3593,0.4429,14,381.0,38.5395,0.1051,0.1232,0.0,90.0,29.8757,0.2857,0.7143,381.0,0.0,16.9101,9.262,1.099,152.4,9.6349,5.544,4.9092,0.2913,0.45,0.3666,1.0,0.087,0.4312,0.0253,0.7614,US,United States,United States,US
34,16,EV Parts Inc.,1385,EMN-MOTOR,IN,437.1539,0.4883,20,331.5,38.1731,0.1137,-0.0159,10.0,66.5,29.2112,0.35,0.65,331.5,33.15,10.8714,7.8795,0.8702,178.5,9.5433,-0.7167,44.0564,0.5351,0.3442,0.5096,0.6,0.5978,0.4729,0.1506,0.666,IN,India,India,IN
35,13,EV Parts Inc.,1385,EMN-MOTOR,MX,437.1964,0.4187,19,357.0,42.0239,0.1198,-0.0318,10.0,72.0,30.8716,0.4211,0.4737,357.0,35.7,12.6759,8.9679,0.8347,396.6667,10.506,-1.4311,12.943,0.4095,0.268,0.5259,0.6,0.4783,0.3689,0.2891,0.4043,MX,Mexico,Mexico,MX
36,76,AdvertOne,7458,EMN-BRAKES,US,437.4132,0.5432,21,413.0,55.3365,0.1318,-0.324,0.0,54.0,27.7523,0.619,0.5714,413.0,0.0,10.9982,9.3264,0.5407,309.75,13.8341,-14.5794,4.2931,0.1336,0.1203,0.8261,1.0,0.8696,0.5642,0.6751,0.5494,US,United States,United States,US
37,12,EV Parts Inc.,1385,EMN-MOTOR,HU,451.7203,0.4507,16,349.0,41.2944,0.1173,-0.0717,10.0,90.0,30.7352,0.4375,0.8125,349.0,34.9,15.4899,8.7282,0.7928,80.5385,10.3236,-3.2273,35.7132,0.4489,0.2999,0.5669,0.6,0.087,0.3774,0.3212,0.9072,HU,Hungary,Hungary,HU
38,74,AdvertOne,7458,EMN-BRAKES,US,452.4335,0.5221,19,417.0,44.5707,0.1053,-0.035,0.0,56.0,27.2872,0.4737,0.5263,417.0,0.0,11.5161,9.2589,0.7543,375.3,11.1427,-1.5731,4.3347,0.1139,0.4469,0.5291,1.0,0.8261,0.5934,0.3917,0.4824,US,United States,United States,US
39,73,AdvertOne,7458,EMN-BRAKES,US,463.88,0.5119,35,425.0,41.2234,0.0987,0.0191,0.0,68.0,23.9768,0.4857,0.4857,425.0,0.0,14.2521,8.2917,0.7512,450.0,10.3059,0.8614,4.4179,0.0745,0.5286,0.4736,1.0,0.5652,0.8007,0.4152,0.4221,US,United States,United States,US
40,17,EV Parts Inc.,1385,EMN-MOTOR,IN,467.5094,0.5062,11,360.0,30.8168,0.0859,-0.1395,10.0,85.0,20.796,0.2727,0.5455,360.0,36.0,15.0904,6.0918,1.0573,300.0,7.7042,-6.2783,47.844,0.3947,0.6863,0.6366,0.6,0.1957,1.0,0.0,0.5108,IN,India,India,IN
41,35,"TechGroup, Inc",1385,EMN-MOTOR,IN,468.5193,0.5483,14,350.0,40.3069,0.1172,0.1949,10.0,62.0,24.4113,0.6429,0.7143,350.0,35.0,10.7014,6.9522,0.5048,140.0,10.0767,8.7692,46.515,0.444,0.3,0.293,0.6,0.6957,0.7735,0.7215,0.7614,IN,India,India,IN
42,11,EV Parts Inc.,1385,EMN-MOTOR,TH,474.8945,0.5289,15,350.0,40.5801,0.118,0.2324,10.0,60.0,26.9705,0.6667,0.6667,350.0,35.0,10.3562,7.6811,0.4712,175.0,10.145,10.4579,50.7833,0.444,0.2902,0.2544,0.6,0.7391,0.6132,0.7679,0.6907,TH,Thailand,Thailand,TH
43,36,"TechGroup, Inc",1385,EMN-MOTOR,MY,475.4627,0.466,16,364.0,43.758,0.123,-0.1423,10.0,68.5,23.4981,0.375,0.5,364.0,36.4,12.2962,6.9598,0.9187,364.0,10.9395,-6.4037,50.3521,0.375,0.2286,0.6394,0.6,0.5543,0.8307,0.1994,0.4433,MY,Malaysia,Malaysia,MY
44,21,WaveCrest Labs,1385,EMN-MOTOR,IN,478.8965,0.4469,24,363.5,41.3306,0.1159,-0.0768,10.0,81.0,28.8951,0.4583,0.625,363.5,36.35,14.5201,8.5466,0.7952,218.1,10.3326,-3.4571,48.3092,0.3775,0.317,0.5722,0.6,0.2826,0.4927,0.3618,0.6289,IN,India,India,IN
45,27,WaveCrest Labs,1385,EMN-MOTOR,CN,480.5624,0.4617,18,334.0,38.7211,0.1137,-0.1256,25.0,80.0,28.1896,0.7778,0.6111,334.0,83.5,13.177,7.6612,0.2997,212.5455,9.6803,-5.6515,37.8956,0.5228,0.3435,0.6223,0.0,0.3043,0.5369,0.9845,0.6083,CN,China,China,CN
46,32,"TechGroup, Inc",1385,EMN-MOTOR,ID,483.447,0.4932,41,364.0,41.8679,0.1162,-0.0222,10.0,67.0,26.1626,0.6098,0.4634,364.0,36.4,12.027,7.749,0.5737,421.4737,10.467,-0.9991,53.2295,0.375,0.3129,0.516,0.6,0.587,0.6638,0.657,0.389,ID,Indonesia,Indonesia,ID
47,42,"LabSupply, Inc",4782,ECR-ZFRAME,US,497.9233,0.4689,32,440.125,61.7811,0.1137,0.2083,0.0,86.5,24.126,0.5938,0.75,440.125,0.0,18.7746,8.6402,0.6285,146.7083,15.4453,9.3715,4.9382,0.0,0.3434,0.2792,1.0,0.163,0.7914,0.6258,0.8144,US,United States,United States,US
48,44,"LabSupply, Inc",4782,ECR-ZFRAME,US,502.2176,0.3596,18,440.125,61.7811,0.1286,0.236,0.0,88.0,31.3148,0.5,0.6667,440.125,0.0,19.1002,11.2147,0.7735,220.0625,15.4453,10.6206,4.9382,0.0,0.16,0.2507,1.0,0.1304,0.3411,0.443,0.6907,US,United States,United States,US
49,25,WaveCrest Labs,1385,EMN-MOTOR,TH,507.6516,0.3564,13,363.0,47.5527,0.1319,0.48,10.0,64.0,34.0529,0.5385,0.4615,363.0,36.3,11.4569,10.0583,0.6766,423.5,11.8882,21.6022,52.6695,0.3799,0.1184,0.0,0.6,0.6522,0.1696,0.518,0.3862,TH,Thailand,Thailand,TH
50,31,"TechGroup, Inc",1385,EMN-MOTOR,CN,513.719,0.3985,29,363.0,39.3561,0.1116,-0.2879,25.0,70.0,29.3159,0.5172,0.4828,363.0,90.75,12.531,8.6591,0.7077,388.9286,9.839,-12.9538,41.186,0.3799,0.3691,0.789,0.0,0.5217,0.4663,0.4766,0.4177,CN,China,China,CN
51,72,AdvertOne,7458,EMN-BRAKES,HU,525.6693,0.3535,13,421.0,47.1507,0.1123,-0.1639,10.0,75.0,28.9212,0.3077,0.3846,421.0,42.1,15.5712,9.9075,1.0016,673.6,11.7877,-7.3747,31.676,0.0942,0.3607,0.6616,0.6,0.413,0.491,0.0682,0.272,HU,Hungary,Hungary,HU
52,77,AdvertOne,7458,EMN-BRAKES,TH,532.1095,0.4091,10,440.125,46.4577,0.1099,-0.4515,10.0,68.5,29.4975,0.6,0.2014,440.125,44.0125,14.8678,10.5639,0.605,1745.6834,11.6144,-20.3185,30.6393,0.0,0.3912,0.9571,0.6,0.5543,0.4549,0.638,0.0,TH,Thailand,Thailand,TH
53,75,AdvertOne,7458,EMN-BRAKES,MX,534.2703,0.4197,19,435.0,43.9185,0.1034,0.1301,10.0,75.0,24.538,0.5789,0.4737,435.0,43.5,16.089,8.6854,0.6294,483.3333,10.9796,5.8539,13.5328,0.0252,0.4715,0.3596,0.6,0.413,0.7656,0.5969,0.4043,MX,Mexico,Mexico,MX
54,45,"LabSupply, Inc",4782,ECR-ZFRAME,MX,548.699,0.4048,30,440.125,61.7811,0.1042,0.1595,10.0,65.5,29.4966,0.4333,0.7,440.125,44.0125,14.2166,10.5636,0.8767,188.625,15.4453,7.1791,16.2802,0.0,0.4607,0.3293,0.6,0.6196,0.455,0.3131,0.7402,MX,Mexico,Mexico,MX
55,41,"LabSupply, Inc",4782,ECR-ZFRAME,HU,560.0254,0.5665,8,440.125,53.7448,0.0605,-0.2786,10.0,86.5,22.7282,0.5,0.875,440.125,44.0125,18.7746,8.1396,0.7735,62.875,13.4362,-12.5385,47.3024,0.0,1.0,0.7795,0.6,0.163,0.879,0.443,1.0,HU,Hungary,Hungary,HU
56,43,"LabSupply, Inc",4782,ECR-ZFRAME,MY,603.9901,0.3676,10,440.125,61.7811,0.1329,0.48,10.0,48.0,32.9763,0.6,0.7,440.125,44.0125,10.4183,11.8098,0.6188,188.625,15.4453,21.6022,59.9582,0.0,0.1072,0.0,0.6,1.0,0.237,0.638,0.7402,MY,Malaysia,Malaysia,MY
